key;en;de
TISM_0000_PROMPT;Individual and Social Music Listening Scale;Skala zum individuellen und sozialen Musikhören 
TISM_0001_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0001_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0001_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0001_CHOICE4;Agree;Stimme eher zu
TISM_0001_CHOICE5;Strongly agree;Stimme zu
TISM_0001_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0001_PROMPT;My experience of music is great when I listen to it alone;Ich genieße Musik am meisten, wenn ich sie alleine höre
TISM_0002_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0002_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0002_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0002_CHOICE4;Agree;Stimme eher zu
TISM_0002_CHOICE5;Strongly agree;Stimme zu
TISM_0002_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0002_PROMPT;The deepest messages in music are best understood when listened to alone;Die tiefsten Botschaften in der Musik versteht man am besten, wenn man sie alleine hört
TISM_0003_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0003_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0003_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0003_CHOICE4;Agree;Stimme eher zu
TISM_0003_CHOICE5;Strongly agree;Stimme zu
TISM_0003_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0003_PROMPT;Music listening gives me strong feelings when I am alone;Musikhören löst bei mir starke Gefühle aus, wenn ich alleine bin
TISM_0004_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0004_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0004_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0004_CHOICE4;Agree;Stimme eher zu
TISM_0004_CHOICE5;Strongly agree;Stimme zu
TISM_0004_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0004_PROMPT;I reserve my favourite tunes for moments of solitude;Ich hebe mir meine Lieblingsstücke für Momente der Einsamkeit auf
TISM_0005_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0005_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0005_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0005_CHOICE4;Agree;Stimme eher zu
TISM_0005_CHOICE5;Strongly agree;Stimme zu
TISM_0005_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0005_PROMPT;Solitary moments make my favourite songs more special;Momente der Einsamkeit machen meine Lieblingslieder zu etwas ganz Besonderem
TISM_0006_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0006_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0006_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0006_CHOICE4;Agree;Stimme eher zu
TISM_0006_CHOICE5;Strongly agree;Stimme zu
TISM_0006_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0006_PROMPT;When I listen to music on my own, I feel like I am ‘one’ with the music;Wenn ich alleine Musik höre, fühle ich mich eins mit der Musik
TISM_0007_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0007_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0007_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0007_CHOICE4;Agree;Stimme eher zu
TISM_0007_CHOICE5;Strongly agree;Stimme zu
TISM_0007_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0007_PROMPT;I really enjoy listening to music alone in a room;Ich genieße es sehr, allein in einem Raum Musik zu hören
TISM_0008_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0008_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0008_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0008_CHOICE4;Agree;Stimme eher zu
TISM_0008_CHOICE5;Strongly agree;Stimme zu
TISM_0008_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0008_PROMPT;When I experience music on my own, it allows me special positive emotions;Wenn ich Musik ganz für mich allein erlebe, löst das besondere positive Emotionen in mir aus	
TISM_0009_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0009_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0009_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0009_CHOICE4;Agree;Stimme eher zu
TISM_0009_CHOICE5;Strongly agree;Stimme zu
TISM_0009_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0009_PROMPT;Being on my own gives me a reason to put on some music;Allein zu sein gibt mir einen Grund, Musik anzumachen
TISM_0010_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0010_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0010_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0010_CHOICE4;Agree;Stimme eher zu
TISM_0010_CHOICE5;Strongly agree;Stimme zu
TISM_0010_CHOICE6;Completely agree;Stimme voll und ganz zu
TISM_0010_PROMPT;I experience music's emotions more in company with other people;Ich erlebe die Emotionen der Musik stärker in Gesellschaft anderer Menschen
TISM_0011_CHOICE1;Completely disagree;Stimme ganz und gar nicht zu
TISM_0011_CHOICE2;Strongly disagree;Stimme nicht zu
TISM_0011_CHOICE3;Disagree;Stimme eher nicht zu
TISM_0011_CHOICE4;Agree;Stimme eher zu
TISM_0011_CHOICE5;Strongly agree;Stimme zu
