key;de;en 
TMHP_0000_PROMPT;Music@home Vorschulversion;Music@home Preschool Version
TMHP_0001_PROMPT;"Nun kommen ein paar Fragen zur musikalischen Interaktion zwischen Ihnen und Ihrem Kind. Bitte geben Sie an, wie sehr Sie den Aussagen zustimmen.";"Here are a few questions about musical interaction at home and musical interaction between you and your child. Please indicate how much you agree with the statements."
TMHP_0002_CHOICE1;Stimme ganz und gar nicht zu;Completely disagree
TMHP_0002_CHOICE2;Stimme nicht zu;Strongly disagree
TMHP_0002_CHOICE3;Stimme eher nicht zu;Disagree
TMHP_0002_CHOICE4;Weder noch;Neither agree nor disagree 
TMHP_0002_CHOICE5;Stimme eher zu;Agree 
TMHP_0002_CHOICE6;Stimme zu;Strongly agree
TMHP_0002_CHOICE7;Stimme voll und ganz zu;Completely agree
TMHP_0002_PROMPT;Ich singe für/mit mein(em) Kind in vielen verschiedenen Situationen (z.B. beim Spielen, mit Freunden und Familien).;I sing to/with my child in many different situations (e.g. during playtime, with friends and family). 
TMHP_0003_CHOICE1;Stimme ganz und gar nicht zu;Completely disagree
TMHP_0003_CHOICE2;Stimme nicht zu;Strongly disagree
TMHP_0003_CHOICE3;Stimme eher nicht zu;Disagree
TMHP_0003_CHOICE4;Weder noch;Neither agree nor disagree 
TMHP_0003_CHOICE5;Stimme eher zu;Agree 
TMHP_0003_CHOICE6;Stimme zu;Strongly agree
TMHP_0003_CHOICE7;Stimme voll und ganz zu;Completely agree
TMHP_0003_PROMPT;Meinem Kind macht es Spaß, Geräusche zu machen/mit Musikinstrumenten zu interagieren (einschl. Spielzeuginstrumente).;My child enjoys making sounds/interacting with musical instruments (including toy ones)
TMHP_0004_CHOICE1;Stimme ganz und gar nicht zu;Completely disagree
TMHP_0004_CHOICE2;Stimme nicht zu;Strongly disagree
TMHP_0004_CHOICE3;Stimme eher nicht zu;Disagree
TMHP_0004_CHOICE4;Weder noch;Neither agree nor disagree 
TMHP_0004_CHOICE5;Stimme eher zu;Agree 
TMHP_0004_CHOICE6;Stimme zu;Strongly agree
TMHP_0004_CHOICE7;Stimme voll und ganz zu;Completely agree
TMHP_0004_PROMPT;Ich singe meinem Kind alle möglichen unterschiedlichen Arten von Liedern vor (z.B. Lieder für Erwachsene, Volkslieder).;I sing all different types of songs to my child (e.g. adult songs, traditional folk songs). 
TMHP_0005_CHOICE1;Stimme ganz und gar nicht zu;Completely disagree
TMHP_0005_CHOICE2;Stimme nicht zu;Strongly disagree
TMHP_0005_CHOICE3;Stimme eher nicht zu;Disagree
